stock_id,date,持股分級,人數,持有股數,占集保庫存數比例
0056  ,2026-06-26,17,1573217,13587034000,100.0
0057  ,2026-06-26,1,2824,113325,7.42
0057  ,2026-06-26,2,122,242420,15.87
0057  ,2026-06-26,3,9,77381,5.06
0057  ,2026-06-26,4,7,87190,5.7
0057  ,2026-06-26,5,0,0,0.0
0057  ,2026-06-26,6,2,49000,3.2
0057  ,2026-06-26,7,1,32000,2.09
0057  ,2026-06-26,8,1,43000,2.81
0057  ,2026-06-26,9,4,282684,18.51
0057  ,2026-06-26,10,4,600000,39.29
0057  ,2026-06-26,11,0,0,0.0
0057  ,2026-06-26,12,0,0,0.0
0057  ,2026-06-26,13,0,0,0.0
0057  ,2026-06-26,14,0,0,0.0
0057  ,2026-06-26,15,0,0,0.0
0057  ,2026-06-26,17,2974,1527000,100.0
0061  ,2026-06-26,1,714,184641,0.18
0061  ,2026-06-26,2,3451,8103369,8.17
0061  ,2026-06-26,3,867,7187782,7.25
0061  ,2026-06-26,4,302,3985119,4.02
0061  ,2026-06-26,5,235,4428733,4.46
0061  ,2026-06-26,6,227,5898294,5.95
0061  ,2026-06-26,7,109,3993921,4.02
0061  ,2026-06-26,8,82,3850226,3.88
0061  ,2026-06-26,9,138,10478939,10.57
0061  ,2026-06-26,10,58,7725000,7.79
0061  ,2026-06-26,11,39,10910893,11.0
0061  ,2026-06-26,12,8,4051000,4.08
0061  ,2026-06-26,13,8,5375000,5.42
0061  ,2026-06-26,14,0,0,0.0
0061  ,2026-06-26,15,6,22943083,23.14
0061  ,2026-06-26,17,6244,99116000,100.0
006201,2026-06-26,1,1118,230246,1.15
006201,2026-06-26,2,1738,3505461,17.57
006201,2026-06-26,3,271,2110577,10.58
006201,2026-06-26,4,81,1034923,5.18
006201,2026-06-26,5,49,913760,4.58
006201,2026-06-26,6,31,809720,4.05
006201,2026-06-26,7,9,300174,1.5
006201,2026-06-26,8,7,322672,1.61
006201,2026-06-26,9,10,693000,3.47
006201,2026-06-26,10,3,392077,1.96
006201,2026-06-26,11,0,0,0.0
006201,2026-06-26,12,4,2043428,10.24
006201,2026-06-26,13,1,622962,3.12
006201,2026-06-26,14,0,0,0.0
006201,2026-06-26,15,2,6967000,34.92
006201,2026-06-26,17,3324,19946000,100.0
006203,2026-06-26,1,775,112626,1.1
006203,2026-06-26,2,346,588382,5.75
006203,2026-06-26,3,30,226749,2.21
006203,2026-06-26,4,5,67100,0.65
006203,2026-06-26,5,9,155956,1.52
006203,2026-06-26,6,2,49000,0.47
006203,2026-06-26,7,0,0,0.0
006203,2026-06-26,8,0,0,0.0
006203,2026-06-26,9,2,147000,1.43
006203,2026-06-26,10,2,267187,2.61
006203,2026-06-26,11,2,733000,7.17
006203,2026-06-26,12,1,500000,4.89
006203,2026-06-26,13,1,626000,6.12
006203,2026-06-26,14,1,1000000,9.78
006203,2026-06-26,15,2,5745000,56.22
006203,2026-06-26,17,1178,10218000,100.0
006204,2026-06-26,1,834,115969,7.73
006204,2026-06-26,2,272,475215,31.68
006204,2026-06-26,3,13,91374,6.09
006204,2026-06-26,4,2,28488,1.89
006204,2026-06-26,5,3,55266,3.68
006204,2026-06-26,6,3,78000,5.2
006204,2026-06-26,7,0,0,0.0
006204,2026-06-26,8,1,48000,3.2
006204,2026-06-26,9,2,131688,8.77
006204,2026-06-26,10,3,476000,31.73
006204,2026-06-26,11,0,0,0.0
006204,2026-06-26,12,0,0,0.0
006204,2026-06-26,13,0,0,0.0
006204,2026-06-26,14,0,0,0.0
006204,2026-06-26,15,0,0,0.0
006204,2026-06-26,17,1133,1500000,100.0
006205,2026-06-26,1,3151,987995,1.01
006205,2026-06-26,2,3985,9045723,9.28
006205,2026-06-26,3,924,7102393,7.28
006205,2026-06-26,4,343,4303428,4.41
006205,2026-06-26,5,207,3802137,3.9
006205,2026-06-26,6,176,4454374,4.57
006205,2026-06-26,7,89,3140259,3.22
006205,2026-06-26,8,44,2064510,2.11
006205,2026-06-26,9,111,7949189,8.15
006205,2026-06-26,10,48,6809593,6.98
006205,2026-06-26,11,11,2949563,3.02
006205,2026-06-26,12,13,6558548,6.73
006205,2026-06-26,13,6,4180000,4.28
006205,2026-06-26,14,1,889000,0.91
006205,2026-06-26,15,8,33202288,34.07
006205,2026-06-26,17,9117,97439000,100.0
006206,2026-06-26,1,796,208492,0.73
006206,2026-06-26,2,1623,3651828,12.91
006206,2026-06-26,3,414,3263339,11.54
006206,2026-06-26,4,137,1756565,6.21
006206,2026-06-26,5,108,2003109,7.08
006206,2026-06-26,6,82,2122517,7.5
006206,2026-06-26,7,45,1650468,5.83
006206,2026-06-26,8,33,1577645,5.57
006206,2026-06-26,9,34,2565257,9.07
006206,2026-06-26,10,16,2173987,7.68
006206,2026-06-26,11,6,1698123,6.0
006206,2026-06-26,12,0,0,0.0
006206,2026-06-26,13,1,768001,2.71
006206,2026-06-26,14,1,802419,2.83
006206,2026-06-26,15,2,4036250,14.27
006206,2026-06-26,17,3298,28278000,100.0
006207,2026-06-26,1,270,62843,0.29
006207,2026-06-26,2,816,1905028,8.9
006207,2026-06-26,3,201,1655147,7.73
006207,2026-06-26,4,73,926561,4.33
006207,2026-06-26,5,64,1193998,5.58
006207,2026-06-26,6,50,1356019,6.33
006207,2026-06-26,7,19,678000,3.16
006207,2026-06-26,8,21,993118,4.64
006207,2026-06-26,9,35,2567197,12.0
006207,2026-06-26,10,18,2682876,12.54
006207,2026-06-26,11,12,3590000,16.78
006207,2026-06-26,12,4,2019000,9.43
006207,2026-06-26,13,1,610000,2.85
006207,2026-06-26,14,0,0,0.0
006207,2026-06-26,15,1,1152213,5.38
006207,2026-06-26,17,1585,21392000,100.0
006208,2026-06-26,1,371250,106904795,5.84
006208,2026-06-26,2,249864,533620527,29.17
006208,2026-06-26,3,42849,306979353,16.78
006208,2026-06-26,4,13896,170935098,9.34
006208,2026-06-26,5,6442,113199636,6.18
006208,2026-06-26,6,5299,129386802,7.07
006208,2026-06-26,7,2080,72308633,3.95
006208,2026-06-26,8,992,44557448,2.43
006208,2026-06-26,9,1376,92360780,5.04
006208,2026-06-26,10,316,41041515,2.24
006208,2026-06-26,11,65,17492466,0.95
006208,2026-06-26,12,15,7144972,0.39
006208,2026-06-26,13,3,2041000,0.11
006208,2026-06-26,14,3,2785000,0.15
006208,2026-06-26,15,40,188281975,10.29
006208,2026-06-26,17,694490,1829040000,100.0
00625K,2026-06-26,1,0,0,0.0
00625K,2026-06-26,2,4,13000,3.9
00625K,2026-06-26,3,1,10000,3.0
00625K,2026-06-26,4,1,12000,3.6
00625K,2026-06-26,5,2,33000,9.9
00625K,2026-06-26,6,2,53000,15.91
00625K,2026-06-26,7,0,0,0.0
00625K,2026-06-26,8,0,0,0.0
00625K,2026-06-26,9,1,97000,29.12
00625K,2026-06-26,10,1,115000,34.53
00625K,2026-06-26,11,0,0,0.0
00625K,2026-06-26,12,0,0,0.0
00625K,2026-06-26,13,0,0,0.0
00625K,2026-06-26,14,0,0,0.0
00625K,2026-06-26,15,0,0,0.0
00625K,2026-06-26,17,12,333000,100.0
00631L,2026-06-26,1,39760,12492877,0.2
00631L,2026-06-26,2,139835,335558097,5.56
00631L,2026-06-26,3,41618,325099268,5.39
00631L,2026-06-26,4,18806,240746870,3.99
00631L,2026-06-26,5,12095,220239900,3.65
00631L,2026-06-26,6,15124,381170573,6.32
00631L,2026-06-26,7,7635,270283108,4.48
00631L,2026-06-26,8,5599,256605313,4.25
00631L,2026-06-26,9,10957,782042917,12.97
00631L,2026-06-26,10,5685,791562684,13.12
00631L,2026-06-26,11,2457,669466245,11.1
00631L,2026-06-26,12,618,300702396,4.98
00631L,2026-06-26,13,238,164802050,2.73
00631L,2026-06-26,14,111,100244954,1.66
00631L,2026-06-26,15,285,1178330748,19.54
00631L,2026-06-26,17,300823,6028848000,100.0
00632R,2026-06-26,1,11087,4183498,0.17
00632R,2026-06-26,2,21412,53475935,2.25
00632R,2026-06-26,3,8292,66012368,2.78
00632R,2026-06-26,4,3925,50894624,2.14
00632R,2026-06-26,5,3098,57206829,2.41
00632R,2026-06-26,6,3632,93803249,3.96
00632R,2026-06-26,7,2054,73838654,3.11
00632R,2026-06-26,8,1712,79428170,3.35
00632R,2026-06-26,9,3793,281147028,11.87
00632R,2026-06-26,10,2108,301958945,12.75
00632R,2026-06-26,11,994,277881282,11.73
00632R,2026-06-26,12,319,156661863,6.61
00632R,2026-06-26,13,171,119677980,5.05
00632R,2026-06-26,14,90,81969845,3.46
00632R,2026-06-26,15,202,669567460,28.27
00632R,2026-06-26,17,62889,2367707730,100.0
00633L,2026-06-26,1,257,40219,0.03
00633L,2026-06-26,2,1487,3566563,3.08
00633L,2026-06-26,3,522,4221745,3.65
00633L,2026-06-26,4,227,2962500,2.56
00633L,2026-06-26,5,196,3668000,3.17
00633L,2026-06-26,6,213,5546845,4.8
00633L,2026-06-26,7,105,3773018,3.26
00633L,2026-06-26,8,90,4251223,3.68
00633L,2026-06-26,9,210,15476001,13.4
00633L,2026-06-26,10,111,15600000,13.51
00633L,2026-06-26,11,62,17736775,15.36
00633L,2026-06-26,12,11,5490122,4.75
00633L,2026-06-26,13,6,4098426,3.54
00633L,2026-06-26,14,3,2707000,2.34
00633L,2026-06-26,15,12,26319563,22.79
00633L,2026-06-26,17,3512,115458000,100.0
00634R,2026-06-26,1,44,2635,0.0
00634R,2026-06-26,2,315,768160,1.62
00634R,2026-06-26,3,112,949478,2.0
00634R,2026-06-26,4,50,662900,1.4
00634R,2026-06-26,5,49,928778,1.96
00634R,2026-06-26,6,54,1425801,3.01
00634R,2026-06-26,7,36,1270055,2.68
00634R,2026-06-26,8,26,1237800,2.61
00634R,2026-06-26,9,49,3546000,7.5
00634R,2026-06-26,10,30,4470762,9.46
00634R,2026-06-26,11,21,5956835,12.6
00634R,2026-06-26,12,2,1095000,2.31
00634R,2026-06-26,13,3,2055000,4.34
00634R,2026-06-26,14,2,1928000,4.07
00634R,2026-06-26,15,7,20958796,44.35
00634R,2026-06-26,17,800,47256000,100.0
00635U,2026-06-26,1,19467,5151511,1.76
00635U,2026-06-26,2,28125,59044069,20.21
00635U,2026-06-26,3,4492,34932985,11.96
00635U,2026-06-26,4,1523,19501967,6.67
00635U,2026-06-26,5,899,16581669,5.67
00635U,2026-06-26,6,803,20396540,6.98
00635U,2026-06-26,7,363,12995604,4.45
00635U,2026-06-26,8,208,9682039,3.31
00635U,2026-06-26,9,337,24132137,8.26
00635U,2026-06-26,10,128,17876080,6.12
00635U,2026-06-26,11,58,15439788,5.28
00635U,2026-06-26,12,8,3858215,1.32
00635U,2026-06-26,13,6,4249089,1.45
00635U,2026-06-26,14,1,864000,0.29
00635U,2026-06-26,15,15,47311307,16.2
00635U,2026-06-26,17,56433,292014000,100.0
00636 ,2026-06-26,1,1544,436649,0.42
00636 ,2026-06-26,2,4236,9976733,9.79
00636 ,2026-06-26,3,1127,9135328,8.97
00636 ,2026-06-26,4,429,5509101,5.41
00636 ,2026-06-26,5,304,5638011,5.53
00636 ,2026-06-26,6,282,7308534,7.17
00636 ,2026-06-26,7,125,4558864,4.47
00636 ,2026-06-26,8,96,4481040,4.4
00636 ,2026-06-26,9,160,11749167,11.53
00636 ,2026-06-26,10,85,11931660,11.71
00636 ,2026-06-26,11,25,6840870,6.71
00636 ,2026-06-26,12,11,5499000,5.4
00636 ,2026-06-26,13,2,1383000,1.35
00636 ,2026-06-26,14,1,884000,0.86
00636 ,2026-06-26,15,7,16493043,16.19
00636 ,2026-06-26,17,8434,101825000,100.0
00636K,2026-06-26,1,4,2000,3.22
00636K,2026-06-26,2,2,4500,7.24
00636K,2026-06-26,3,0,0,0.0
00636K,2026-06-26,4,1,11100,17.87
00636K,2026-06-26,5,0,0,0.0
00636K,2026-06-26,6,0,0,0.0
00636K,2026-06-26,7,0,0,0.0
00636K,2026-06-26,8,1,44500,71.65
00636K,2026-06-26,9,0,0,0.0
00636K,2026-06-26,10,0,0,0.0
00636K,2026-06-26,11,0,0,0.0
00636K,2026-06-26,12,0,0,0.0
00636K,2026-06-26,13,0,0,0.0
00636K,2026-06-26,14,0,0,0.0
00636K,2026-06-26,15,0,0,0.0
00636K,2026-06-26,17,8,62100,100.0
00637L,2026-06-26,1,623,95379,0.01
00637L,2026-06-26,2,4208,10892131,1.46
00637L,2026-06-26,3,1785,14898812,2.0
00637L,2026-06-26,4,781,10392252,1.4
00637L,2026-06-26,5,662,12462675,1.67
00637L,2026-06-26,6,750,19670433,2.65
00637L,2026-06-26,7,468,17062406,2.29
00637L,2026-06-26,8,347,16278958,2.19
00637L,2026-06-26,9,827,61883628,8.33
00637L,2026-06-26,10,519,75505875,10.17
00637L,2026-06-26,11,267,75948242,10.23
00637L,2026-06-26,12,101,49476000,6.66
00637L,2026-06-26,13,49,33567000,4.52
00637L,2026-06-26,14,36,33045212,4.45
00637L,2026-06-26,15,90,310926997,41.89
00637L,2026-06-26,17,11513,742106000,100.0
00638R,2026-06-26,1,56,6646,0.02
00638R,2026-06-26,2,199,512059,1.9
00638R,2026-06-26,3,92,778085,2.88
